m_no,m_title,m_synopsis,g_no,m_time,m_open,m_director
36,더 씽,차가운 빙하 속에서 거대한 놈이 깨어났다!\n컬럼비아 대학의 고생물학자 ‘케이트’ 박사(메리 엘리자베스 윈스티드)는 빙하 시대 이전부터 존재해온 것으로 파악되는 구조물과 그 안에 있는 외계 생명체를 발견한 노르웨이 탐사팀의 요청을 받고 남극 대륙에 도착한다. 탐사팀은 엄청난 것을 발견했다는 사실에 기쁨을 감추지 못하지만 그날 밤 얼음에서 정체를 알 수 없는 ‘그것’이 깨어나면서 기지는 끔찍한 공포에 휩싸이게 된다.\n우리 중 누군가는 사람이 아니다!\n빙하 속에서 깨어난 괴생물체는 세포를 모방해 인간의 모습으로 완벽하게 변신하는 능력을 지닌 외계 생명체. 사람의 모습으로 변신할 수 있는 놈의 정체를 알게 된 탐사팀 대원들은 고립된 기지에서 극도의 긴장감을 느끼고 누구도 믿을 수 없는 상황에 처한다. 하지만 놈을 완전히 죽이지 않으면 수백만 명의 사람이 희생될 수 있는데….\n\n인간으로 변하는 외계 생명체.. 거대한 놈과의 사투가 시작된다!,8.9.10,103,3,매티스 반 헤이닌겐 주니어
37,나홀로 집에,맥컬리스터 부부는 크리스마스휴가를 맞아 온가족과 함께 파리로 여행을 가는데 그만 실수로 다락방에 가둬둔 말썽꾸러기 막내아들 케빈을 혼자 남겨두고 간다. 비행기에서 이사실을 깨달은 케빈의 부모는 다시 집으로 가려 하지만 휴가철이라 비행기의 좌석은 이미 예약이 끝난 상태여서 어려움을 겪는다. 한편 케빈은 자기를 빙충이 말썽꾸러기라고 무시하던 가족들이 하나도 안보이자 오히려 해방감을 느끼며 환호성을 지른다. 그러나 2인조 빈집전문털이범이 자기집을 노리고 있음을 알고 두려움에 떨지만 자기집은 자기손으로 지켜야겠다는 결심을 한다. 전기다리미 페인트통 빨랫줄 공기총 형의 거미까지 동원한 케빈은 기발한 방법으로 얼간이 도둑을 퇴치하고 간신히 집에 온 식구들과 재회한다. 진짜 크리스마스휴가가 시작된 것이다.,5.7.12.13,105,1,크리스 콜럼버스
38,나홀로 집에 2,캐빈은 가족과 함께 플로리다로 크리스마스 휴가를 떠나기로 한다. 그러나 공항의 소란속에서 그만 뉴욕행 비행기에 오르게 되어 거대한 도시에 혼자 남게된다. 홀로 뉴욕에서 해방감을 느끼는 캐빈은 아버지의 카드로 플로리다 호텔에 투숙하는 한편 덩컨 장난감가게에서 만난 덩컨씨가 크리스마스때 번 돈을 어린이병원에 기부하려는 계획을 알게된다. 그러나 이때 캐빈은 감옥에서 탈출한 마브와 해리를 덩컨가게 앞에서 만나 쫓기다가 해리와 마브에게 잡히고 만다. 여기에서 해리와 마브가 이 기부금을 노린다는 사실을 알게된 케빈은 간신히 도망쳐 삼촌의 집을 이용해 이 두 도둑을 저지시킬 준비에 들어간다. 결국 캐빈에게 혼이난 두 멍청한 도둑들은 공원에서 캐빈의 신고로 출동한 경찰에 잡히고 캐빈은 카드를 추적해 찾아온 엄마와 극적인 상봉을 한다.,1.5.7.13,118,1,크리스 콜럼버스
39,나홀로 집에 3,상상력이 풍부해서 늘 말썽을 부리는 귀염둥이 알렉스는 앞집 할머니의 집앞 눈을 치워준 대가로 리모트 컨트롤 자동차를 선물받는다. 이 장난감 자동차는 실은 공항에서 할머니의 빵가방과 바뀐 것이었는데 보통 장난감이 아니다. 그 안에는 국제 범죄 조직이 미공군에서 빼내 북한에게 팔아 넘기려는 컴퓨터 칩이 숨겨져 있다. 일당은 그들의 가방이 할머니 것과 바뀐 것을 확인하고 공항에서 할머니를 집까지 태워다 준 운전사에게 물어 할머니의 집을 알아내는데 막상 동네에 와보니 동네 전체 14가구가 모두 운전사가 묘사한 집과 똑같다. 할 수 없이 일당들은 14가구 모두를 수색한다.,3.5.13,103,1,라자 고스넬
40,데어 윌 비 블러드,야망과 탐욕 폭력과 사랑 성공과 실패의 대서사시! 1898년 지독한 알콜 중독자에 부인도 없이 홀로 아들을 키우며 아무도 거들떠 보지 않는 황무지 사막 한가운데서 금을 캐는 무일푼 광부. 어느날 이곳에서 그는 석유 유전을 발굴하면서 일확천금의 행운을 누리게 된다. 야심찬 석유 개발과 함께 시작된 야망과 꿈은 어느새 탐욕과 폭력으로 바뀌게 되고 쉴새 없이 샘솟는 석유와는 반대로 이들 사이에는 사랑과 존경 희망 믿음 등이 사라져만 가는데,3.7,158,3,폴 토마스 앤더슨
41,캐리비안의 해적: 낯선 조류,`젊음의 샘`을 찾아 떠나는 캡틴 잭은 옛 연인 안젤리카로 인해 공포스런 해적 검은 수염의 배 `앤 여왕의 복수`호에 강제로 오르게 된다. 그리고 예측할 수 없는 운명에 휘말리는데 과연 그가 가장 경계해야 할 적은 누구일까? 개성 강한 해적 캐릭터들이 얽히고설킨 가운데 ‘젊음의 샘’을 찾아 떠나는 모험을 흥미진진하게 다룬다.,1.11,137,2,롭 마샬
42,도리를 찾아서,“내가 누구라고? 도리? 도리!”\n무엇을 상상하든 그 이상을 까먹는 ‘도리’의 어드벤쳐가 시작된다!\n\n니모를 함께 찾으면서 베스트 프렌드가 된 도리와 말린은\n우여곡절 끝에 다시 고향으로 돌아가 평화로운 일상을 보내고 있다.\n\n모태 건망증 도리가 ‘기억’이라는 것을 하기 전까지!\n\n도리는 깊은 기억 속에 숨어 있던 가족의 존재를 떠올리고\n니모와 말린과 함께 가족을 찾아 대책 없는 어드벤쳐를 떠나게 되는데…\n\n깊은 바다도 막을 수 없는 스펙터클한 어드벤쳐가 펼쳐진다!,2.5.12,102,1,앤드류 스탠튼
43,듄,“듄을 지배하는 자가 우주를 지배한다!”\n\n10191년 아트레이데스 가문의 후계자인 폴(티모시 샬라메)은\n시공을 초월한 존재이자 전 우주를 구원할 예지된 자의 운명을 타고났다.\n그리고 어떤 계시처럼 매일 꿈에서 아라키스 행성에 있는 한 여인을 만난다.\n모래언덕을 뜻하는 '듄'이라 불리는 아라키스는 물 한 방울 없는 사막이지만\n우주에서 가장 비싼 물질인 신성한 환각제 스파이스의 유일한 생산지로 이를 차지하기 위한 전쟁이 치열하다.\n황제의 명령으로 폴과 아트레이데스 가문은 죽음이 기다리는 아라키스로 향하는데…\n\n위대한 자는 부름에 응답한다 두려움에 맞서라 이것은 위대한 시작이다!,9,155,2,드니 빌뇌브
44,드래곤 길들이기,‘벌크(Berk)’ 섬에 사는 바이킹 족의 중요한 사명 하나는 바로 사나운 드래곤들과 싸우는 일이다. 바이킹 족장 스토익의 아들이지만 나약하기만 한 10대 소년 ‘히컵’은 아버지에게 떠밀려 다른 10대들처럼 ‘드래곤 훈련’을 받게 되고 나름 ‘바이킹 전사’로 인정받기 위해 노력한다. 그러던 어느날 히컵은 우연히 부상당한 어린 드래곤 ‘투쓰리스(toothless 이빨이 없다는 뜻)과 마주치고 둘은 친구가 된다. 가장 바이킹스럽지 않은 바이킹 소년 히컵과 이빨도 없는 드래곤 투쓰리스 사이에서 시작된 우정은 바이킹 족과 드래곤들의 미래에 새로운 변화를 가져오는데…,2.5.12.13,98,1,딘 데블로이스
45,드래곤 길들이기 2,더 높이 더 멀리 더 힘차게!\n우리의 진짜 모험은 지금부터다!\n바이킹과 드래곤이 친구가 되어 평화롭게 살아가는 버크섬.\n청년이 된 히컵은 아버지 스토이크의 바람과는 달리\n족장이 되는 것 보다 버크섬 밖의 더 넓은 세상을 보고 싶어한다.\n\n그러던 어느 날 신비로운 얼음대륙을 탐험하던 히컵과 투슬리스는\n드래곤 사냥꾼들이 쳐놓은 덫에 걸리고\n드래곤들을 위협하는 강력한 어둠의 존재에 대해 알게 된다.\n히컵과 투슬리스는 드래곤들의 평화를 위해\n의문의 드래곤 군단과 맞서기로 결심하는데…,1.2.12,101,1,딘 데블로이스
46,드래곤 길들이기 3,영원히 기억될 그들의 마지막 모험이 시작된다!\n\n영원한 친구 히컵과 투슬리스의 활약으로\n사람과 드래곤이 공존하며 평화롭게 살아가는 버크섬.\n새로운 드래곤 ‘라이트 퓨어리’를 쫓아간 투슬리스를 찾다가\n히컵은 누구도 찾지 못했던 드래곤의 파라다이스 ‘히든월드’를 우연히 발견하게 된다.\n하지만 평화도 잠시 역대 최악의 드래곤 헌터 그리멜의 등장으로\n드래곤들의 안전과 버크섬의 평화까지 위협받기 시작하는데…,2,104,1,딘 데블로이스
47,디워,LA 도심 한복판에서 벌어진 의문의 대형 참사. 단서는 단 하나 현장에서 발견된 정체불명의 비늘뿐. 사건을 취재하던 방송기자 이든(제이슨 베어)은 어린 시절 잭(로버트 포스터)에게 들었던 숨겨진 동양의 전설을 떠올리고. 여의주를 지닌 신비의 여인 세라(아만다 브록스)와의 만남으로 인해 이무기의 전설이 현실로 다가오고 있음을 직감한다. 전설의 재현을 꿈꾸는 악한 이무기 ‘부라퀴’ 무리들이 서서히 어둠으로 LA를 뒤덮는 가운데 이들과 맞설 준비를 하는 이든과 세라. 모든 것을 뒤엎을 거대한 전쟁 앞에서 이들의 운명은 어떻게 될 것인가.,1.9,90,2,심형래
48,웰컴 투 동막골,전쟁의 소용돌이에서 한 곳에 모인 그들 1950년 11월 한국 전쟁이 한창이던 그 때… 태백산맥 줄기를 타고 함백산 절벽들 속에 자리 잡은 마을 동막골· 이 곳에 추락한 P-47D 미 전투기 한 대. 추락한 전투기 안에는 연합군 병사 스미스(스티브 태슐러)가 있었다. 동막골에 살고있는 여일(강혜정)은 이 광경을 목격하고 소식을 전달하러 가던 중 인민군 리수화(정재영) 일행을 만나게 되고 그들을 동막골로 데리고 온다. 바로 그 때 자군 병력에서 이탈해 길을 잃은 국군 표현철(신하균)과 문상상 일행이 동막골 촌장의 집까지 찾아 오게 되면서 국군 인민군 연합군이 동막골에 모이게 되고 긴장감은 극도로 고조된다. 목숨을 걸고 사수하고 싶었던 그 곳 동막골 결코 어울릴 수 없는 세 사람· 국군 인민군 연합군 총을 본 적도 없는 동막골 사람들 앞에서 수류탄 총 철모 무전기· 이 들이 가지고 있던 특수 장비들은 아무런 힘도 못 쓰는 신기한 물건에 불과했다. 그러나· 전쟁의 긴장은 동막골까지 덥치고 말았다. 동막골에 추락한 미군기가 적군에 의해 폭격됐다고 오인한 국군이 마을을 집중 폭격하기로 한 것. 적 위치 확인…! 현재 좌표…델타 호텔 4045　 이 사실을 알게 된 군군 인민군 연합군은 한국 전쟁 사상 유례없는 연합 공동 작전을 펼치기로 한다. 그들에게 무슨 일이 있었기에!!! 이 세 사람은 목숨까지 걸고 동막골을 지키려고 한 것일까?,3.15,133,2,박광현
49,디파티드,갱이 된 경찰 경찰이 된 갱\n엇갈린 운명의 길을 걷는 두 남자의 대결\n\n보스턴 경찰청은 프랭크 코스텔로(잭 니콜슨)가 이끄는 보스턴 최대 범죄 조직망을 일망타진하기 위해 경찰을 첩자로 잠입시키는 작전을 계획한다. 신참 경찰 빌리 코스티건(레오나르도 디카프리오)이 임무를 맡아 모든 신분을 버리고 갱으로 위장해 조직에 침투한다.\n또 다른 신참 경찰 콜린 설리반(맷 데이먼)은 코스텔러를 제거하는 특별수사반에 배치된다. 그러나 콜린은 경찰청에 투입된 코스텔로의 첩자. 결국 갱단과 경찰이 서로 상대방의 조직에 위장 침투한 것이다.\n빌리와 콜리가 서로의 임무를 수행하는 동안 양쪽 조직 모두 첩차의 존재를 눈치채고 언제 정체가 탄로날지 모르는 상황 속에서 두 사람은 각각의 적을 찾아 총구를 겨눠야만 한다.,3,149,3,마틴 스코세이지
50,라따뚜이,쉿! 요건 비밀인데... 저 요리해요!\n\n절대미각 빠른 손놀림 끓어 넘치는 열정의 소유자 ‘레미’.\n프랑스 최고의 요리사를 꿈꾸는 그에게 단 한가지 약점이 있었으니\n바로 주방 퇴치대상 1호인 ‘생쥐’라는 것!\n\n그러던 어느 날 하수구에서 길을 잃은 레미는 운명처럼 파리의 별 다섯개짜리\n최고급 레스토랑에 떨어진다.\n그러나 생쥐의 신분으로 주방이란 그저 그림의 떡.\n\n보글거리는 수프 둑닥둑닥 도마소리 향긋한 허브 내음에 식욕이 아닌 ‘요리욕’이 북받친 레미의 작은 심장은 콩닥콩닥 뛰기 시작하는데!\n쥐면 쥐답게 쓰레기나 먹고 살라는 가족들의 핀잔에도 굴하지 않고 끝내 주방으로 들어가는 레미. 깜깜한 어둠 속에서 요리에 열중하다 재능 없는 견습생 ‘링귀니’에게 ‘딱’ 걸리고 만다. 하지만 해고위기에 처해있던 링귀니는 레미의 재능을 한눈에 알아보고 의기투합을 제안하는데. 과연 궁지에 몰린 둘은 환상적인 요리 실력을 발휘할 수 있을 것인가?\n\n레니와 링귀니의 좌충우돌 공생공사 프로젝트가 아름다운 파리를 배경으로 이제 곧 펼쳐진다!,2.3.5.13,115,1,브래드 버드
51,라이언 일병 구하기,세계 2차 대전 중 미군인 밀러 대위는 모마하 해변을 공격하는데 예정지가 아닌 곳에 상륙하게 돼 부하들의 희생이 많았다. 그럼에도 밀러 대위는 몇 안 되는 부하와 함께 해변을 정복한다. 한편 미군 사령관은 군인인 라이언 형제에 관한 보고를 듣는다. 참전중인 네 형제 중 세 형제가 전사했고 넷째이자 막내인 제임스 라이언은 생사조차 확인 할 수 없다는 내용이었다. 사령관은 막내를 찾아 집으로 돌려보내라는 명령을 내리고 밀러 대위의 지휘하에 8명의 군인이 명령을 수행하게 된다. 8명이 목숨을 걸고 한 명을 구해야 하는 임무를 부여받은 부대원들은 불만에 차 있었지만 밀러 대위는 이들을 이해시키며 작전을 진행시킨다.,1.3.15,169,3,스티븐 스필버그
52,라이온 킹,광활한 아프리카 초원 사자 왕 무파사가 통치하고 있는 프라이드 랜드에서 왕의 후계자 심바가 태어난다. 심바는 무파사에게 자연에 대한 가르침을 배우면서 평화롭게 지낸다. 왕의 자리를 탐내고 있는 스카는 심바에게 금지구역인 코끼리 무덤에 대해 말해준다. 심바와 그의 친구 날라는 코뿔새의 감시를 피해 몰래 코끼리의 무덤으로 향하고 그곳에서 하이에나들을 만나 위험에 처하게 된다. 그러나 스카의 음모로 무파사는 심바를 구하다 목숨을 잃게 된다. 아버지의 죽음에 대한 죄책감으로 심바는 프라이드 랜드에서 떠나고 프라이드 랜드의 왕좌는 스카가 차지하게 된다.\n사막에서 의식을 잃고 쓰러진 심바를 티몬과 품바가 발견되어 그들의 하쿠나 마타타 철학 아래 성장한다. 어느 날 심바는 날라와 만나게 되고 날라는 심바에게 프라이드 랜드가 메마른 황무지로 변했다고 말해 주었다. 그 때 라피키가 나타나 무파사의 영혼을 보여주며 심바를 이끌었다. 심바는 고향에 돌아가 스카와 하이에나들과 맞서게 된다. 스카는 무파사의 죽음에 대한 진실을 밝히고 분노한 심바는 스카를 낭떠러지로 몰아세운다. 목숨을 부지하기 위해 스카는 모든 잘못을 하이에나들에게 뒤집어 씌우고 그 말을 들은 하이에나 들은 심바와의 싸움에서 가까스로 살아 돌아온 스카를 공격했다. 심바는 새로운 왕이 되어 평화로운 프라이드 랜드를 되찾는다.,2.3.12.13.17,89,1,로저 알러스
